"region","type registrering","drivstofftype","år","statistikkvariabel","12906: Førstegangsregistrerte kjøretøy,"
"4204 Kristiansand","Nye kjøretøy","Bensin","2019","Lastebiler",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2019","Mopeder",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2019","Lette motorsykler",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2019","Tunge motorsykler",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2019","Beltemotorsykler",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2019","Traktorer",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2019","Motorredskaper",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Personbiler",112
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Ambulanser",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Bobiler",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Busser",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Varebiler",2
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Kombinerte biler",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Lastebiler",0
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Mopeder",54
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Lette motorsykler",54
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Tunge motorsykler",141
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Beltemotorsykler",19
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Traktorer",56
"4204 Kristiansand","Nye kjøretøy","Bensin","2020","Motorredskaper",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Personbiler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Ambulanser",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Bobiler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Busser",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Varebiler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Kombinerte biler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Lastebiler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Mopeder",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Lette motorsykler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Tunge motorsykler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Beltemotorsykler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Traktorer",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2019","Motorredskaper",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Personbiler",150
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Ambulanser",1
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Bobiler",35
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Busser",2
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Varebiler",223
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Kombinerte biler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Lastebiler",13
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Mopeder",4
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Lette motorsykler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Tunge motorsykler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Beltemotorsykler",0
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Traktorer",9
"4204 Kristiansand","Nye kjøretøy","Diesel","2020","Motorredskaper",0
"4204 Kristiansand","Nye kjøretøy","Parafin","2019","Personbiler",0
"4204 Kristiansand","Nye kjøretøy","Parafin","2019","Ambulanser",0
"4204 Kristiansand","Nye kjøretøy","Parafin","2019","Bobiler",0
"4204 Kristiansand","Nye kjøretøy","Parafin","2019","Busser",0
