region,type kjøring,drivstofftype,år,statistikkvariabel,"07849: Registrerte kjøretøy,"
0 Hele landet,Egentransport,Parafin,2014,Mopeder,0
0 Hele landet,Egentransport,Parafin,2014,Lette motorsykler,0
0 Hele landet,Egentransport,Parafin,2014,Tunge motorsykler,0
0 Hele landet,Egentransport,Parafin,2014,Beltemotorsykler,0
0 Hele landet,Egentransport,Parafin,2014,Traktorer,73
0 Hele landet,Egentransport,Parafin,2014,Motorredskaper,0
0 Hele landet,Egentransport,Parafin,2015,Personbiler,13
0 Hele landet,Egentransport,Parafin,2015,Ambulanser,0
0 Hele landet,Egentransport,Parafin,2015,Busser,0
0 Hele landet,Egentransport,Parafin,2015,Varebiler,3
0 Hele landet,Egentransport,Parafin,2015,Kombinerte biler,0
0 Hele landet,Egentransport,Parafin,2015,Lastebiler,14
0 Hele landet,Egentransport,Parafin,2015,Mopeder,0
0 Hele landet,Egentransport,Parafin,2015,Lette motorsykler,0
0 Hele landet,Egentransport,Parafin,2015,Tunge motorsykler,0
0 Hele landet,Egentransport,Parafin,2015,Beltemotorsykler,0
0 Hele landet,Egentransport,Parafin,2015,Traktorer,70
0 Hele landet,Egentransport,Parafin,2015,Motorredskaper,0
0 Hele landet,Egentransport,Parafin,2016,Personbiler,9
0 Hele landet,Egentransport,Parafin,2016,Ambulanser,0
0 Hele landet,Egentransport,Parafin,2016,Busser,0
0 Hele landet,Egentransport,Parafin,2016,Varebiler,3
0 Hele landet,Egentransport,Parafin,2016,Kombinerte biler,0
0 Hele landet,Egentransport,Parafin,2016,Lastebiler,17
0 Hele landet,Egentransport,Parafin,2016,Mopeder,0
0 Hele landet,Egentransport,Parafin,2016,Lette motorsykler,0
0 Hele landet,Egentransport,Parafin,2016,Tunge motorsykler,0
0 Hele landet,Egentransport,Parafin,2016,Beltemotorsykler,0
0 Hele landet,Egentransport,Parafin,2016,Traktorer,69
0 Hele landet,Egentransport,Parafin,2016,Motorredskaper,0
0 Hele landet,Egentransport,Parafin,2017,Personbiler,8
0 Hele landet,Egentransport,Parafin,2017,Ambulanser,0
0 Hele landet,Egentransport,Parafin,2017,Busser,1
0 Hele landet,Egentransport,Parafin,2017,Varebiler,3
0 Hele landet,Egentransport,Parafin,2017,Kombinerte biler,0
0 Hele landet,Egentransport,Parafin,2017,Lastebiler,18
0 Hele landet,Egentransport,Parafin,2017,Mopeder,0
0 Hele landet,Egentransport,Parafin,2017,Lette motorsykler,0
0 Hele landet,Egentransport,Parafin,2017,Tunge motorsykler,0
0 Hele landet,Egentransport,Parafin,2017,Beltemotorsykler,0
0 Hele landet,Egentransport,Parafin,2017,Traktorer,70
0 Hele landet,Egentransport,Parafin,2017,Motorredskaper,0
0 Hele landet,Egentransport,Parafin,2018,Personbiler,11
